epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,140.873,0.94469,0.81733,1.09332,0.74614,0.81818,0.79163,0.53107,1.41178,1.08651,1.44721,0.000911,0.000911,0.000911
57,143.115,0.91963,0.68646,1.08912,0.78129,0.77273,0.80125,0.53002,1.42095,1.08292,1.46226,0.0008912,0.0008912,0.0008912
58,145.383,0.8563,0.68926,1.06248,0.76027,0.72727,0.74987,0.48031,1.48857,1.33757,1.47377,0.0008714,0.0008714,0.0008714
59,147.743,0.82168,0.72427,1.00369,0.7907,0.68711,0.72701,0.48665,1.46748,1.43202,1.43941,0.0008516,0.0008516,0.0008516
60,150.474,0.8951,0.65914,1.08869,0.78973,0.77273,0.78918,0.5326,1.39855,1.2449,1.4286,0.0008318,0.0008318,0.0008318
61,153.188,0.9248,0.72858,1.07901,0.78102,0.81089,0.7877,0.53992,1.40024,1.15475,1.41497,0.000812,0.000812,0.000812
62,155.548,0.88302,0.71467,1.04681,0.77239,0.77273,0.7957,0.54357,1.34766,1.02365,1.3994,0.0007922,0.0007922,0.0007922
63,157.801,0.87229,0.69222,1.09579,0.69336,0.77273,0.7537,0.51782,1.33044,1.08737,1.39107,0.0007724,0.0007724,0.0007724
64,160.67,0.84142,0.64751,1.02812,0.59804,0.74428,0.74524,0.50315,1.37857,1.12501,1.40352,0.0007526,0.0007526,0.0007526
65,163.234,0.84554,0.60137,1.05367,0.61028,0.86364,0.75475,0.49447,1.44583,1.11039,1.42767,0.0007328,0.0007328,0.0007328
66,166.03,0.84793,0.68853,1.07472,0.6829,0.90909,0.82869,0.5312,1.47219,0.98431,1.48939,0.000713,0.000713,0.000713
67,168.38,0.83852,0.70249,1.05727,0.73009,0.86364,0.83674,0.52727,1.49032,1.00006,1.51836,0.0006932,0.0006932,0.0006932
68,170.661,0.79665,0.59769,1.01655,0.77656,0.79035,0.83049,0.51941,1.50425,0.93935,1.48256,0.0006734,0.0006734,0.0006734
69,172.833,0.81129,0.74313,1.09675,0.79123,0.77273,0.81029,0.50395,1.52964,0.97274,1.46894,0.0006536,0.0006536,0.0006536
70,175.195,0.89153,0.68883,1.08958,0.91814,0.63636,0.78832,0.48132,1.5221,1.08482,1.46822,0.0006338,0.0006338,0.0006338
71,178.156,0.81556,0.64924,1.03051,0.81228,0.77273,0.80718,0.52492,1.44489,1.06097,1.49114,0.000614,0.000614,0.000614
72,180.455,0.8392,0.72409,1.07726,0.83124,0.67209,0.75035,0.50225,1.34671,1.26541,1.45532,0.0005942,0.0005942,0.0005942
73,182.793,0.86944,0.6708,1.1236,0.86025,0.63636,0.73073,0.48946,1.35006,1.33147,1.43344,0.0005744,0.0005744,0.0005744
74,185.092,0.8131,0.64296,1.00983,0.80853,0.63636,0.75103,0.49662,1.44538,1.19691,1.49282,0.0005546,0.0005546,0.0005546
75,187.459,0.82532,0.63285,1.06602,0.85136,0.63636,0.77313,0.48943,1.48154,1.09184,1.53951,0.0005348,0.0005348,0.0005348
76,190.335,0.86294,0.70831,1.10273,0.93211,0.62469,0.803,0.51264,1.48884,1.06375,1.55033,0.000515,0.000515,0.000515
77,192.767,0.82537,0.61402,1.04776,0.86675,0.72727,0.81172,0.51383,1.46689,1.03177,1.51427,0.0004952,0.0004952,0.0004952
78,195.011,0.79947,0.63012,1.02617,0.91345,0.72727,0.82893,0.54461,1.42718,1.04425,1.46861,0.0004754,0.0004754,0.0004754
79,197.388,0.81351,0.658,1.04285,0.82837,0.72727,0.81862,0.53505,1.36509,0.94473,1.43731,0.0004556,0.0004556,0.0004556
80,199.669,0.80161,0.62399,1.05948,0.83431,0.68182,0.81751,0.524,1.3838,0.91937,1.46052,0.0004358,0.0004358,0.0004358
81,202.299,0.74536,0.57026,0.98696,0.7331,0.77273,0.79968,0.51578,1.46634,0.90798,1.53746,0.000416,0.000416,0.000416
82,204.989,0.74642,0.60944,1.04845,0.78324,0.72727,0.78238,0.50429,1.51317,0.86855,1.59456,0.0003962,0.0003962,0.0003962
83,207.273,0.76014,0.65395,1.03329,0.7163,0.80375,0.79316,0.50801,1.4661,0.88768,1.56842,0.0003764,0.0003764,0.0003764
84,209.597,0.73111,0.59019,1.05763,0.84184,0.72592,0.82948,0.55015,1.39858,0.91834,1.47124,0.0003566,0.0003566,0.0003566
85,211.95,0.72298,0.58697,1.01121,0.71087,0.81818,0.81371,0.54276,1.39051,0.89717,1.47275,0.0003368,0.0003368,0.0003368
86,214.556,0.69316,0.54327,0.99582,0.76889,0.86364,0.83429,0.55585,1.40728,0.92849,1.48178,0.000317,0.000317,0.000317
87,217.333,0.7448,0.5874,1.01595,0.82142,0.77273,0.82967,0.55026,1.36368,0.86452,1.43101,0.0002972,0.0002972,0.0002972
88,219.639,0.69497,0.53936,1.00699,0.77068,0.77273,0.82278,0.54199,1.38115,0.8896,1.42482,0.0002774,0.0002774,0.0002774
89,221.895,0.73451,0.55697,1.04472,0.73654,0.81818,0.81403,0.53454,1.41934,0.92135,1.44875,0.0002576,0.0002576,0.0002576
90,224.206,0.71045,0.53928,0.9919,0.72338,0.86364,0.84039,0.55152,1.3935,0.95731,1.4247,0.0002378,0.0002378,0.0002378
91,229.333,0.64795,0.50581,1.022,0.68286,0.86364,0.83473,0.55202,1.38171,0.97571,1.40028,0.000218,0.000218,0.000218
92,232.281,0.62378,0.42878,0.94892,0.77045,0.76317,0.83946,0.56801,1.41318,1.02118,1.40954,0.0001982,0.0001982,0.0001982
93,234.728,0.57697,0.421,0.93255,0.76898,0.77273,0.82476,0.5472,1.41627,1.02994,1.41258,0.0001784,0.0001784,0.0001784
94,237.105,0.60109,0.44101,0.91742,0.74683,0.77273,0.81808,0.5414,1.41086,1.05563,1.41961,0.0001586,0.0001586,0.0001586
95,239.361,0.63676,0.56039,0.9622,0.7534,0.77273,0.8065,0.53692,1.38802,1.03142,1.41736,0.0001388,0.0001388,0.0001388
96,242.305,0.61763,0.52517,0.97888,0.75854,0.77273,0.81517,0.5315,1.3779,1.04982,1.41789,0.000119,0.000119,0.000119
97,244.61,0.54874,0.43385,0.92667,0.73814,0.77273,0.82058,0.53476,1.3748,1.02335,1.41657,9.92e-05,9.92e-05,9.92e-05
98,246.776,0.58421,0.41642,0.95637,0.72924,0.86364,0.8256,0.53533,1.38265,0.9875,1.42619,7.94e-05,7.94e-05,7.94e-05
99,249.088,0.56624,0.43411,0.95303,0.72127,0.86364,0.82941,0.53215,1.38986,0.97292,1.43837,5.96e-05,5.96e-05,5.96e-05
100,251.359,0.54423,0.41733,0.93744,0.71789,0.86364,0.82951,0.54112,1.38522,0.94915,1.42892,3.98e-05,3.98e-05,3.98e-05
